,中华人民共和国,0,,1645349604927082496,0,0,,1,7270
130371000000,秦皇岛市经济技术开发区,3,,1645349640071155717,0,0,1645349629610561538,184,185
130372000000,北戴河新区,3,,1645349640075350016,0,0,1645349629610561538,186,187
210100000000,沈阳市,2,,1645349641501413376,0,0,1645349607468830722,1051,1080
210200000000,大连市,2,,1645349641501413377,0,0,1645349607468830722,1081,1104
210300000000,鞍山市,2,,1645349641501413378,0,0,1645349607468830722,1105,1122
210400000000,抚顺市,2,,1645349641505607680,0,0,1645349607468830722,1123,1140
210500000000,本溪市,2,,1645349641505607681,0,0,1645349607468830722,1141,1156
210600000000,丹东市,2,,1645349641505607682,0,0,1645349607468830722,1157,1172
210700000000,锦州市,2,,1645349641505607683,0,0,1645349607468830722,1173,1190
210800000000,营口市,2,,1645349641505607684,0,0,1645349607468830722,1191,1206
210900000000,阜新市,2,,1645349641505607685,0,0,1645349607468830722,1207,1224
211000000000,辽阳市,2,,1645349641505607686,0,0,1645349607468830722,1225,1242
211100000000,盘锦市,2,,1645349641505607687,0,0,1645349607468830722,1243,1254
211200000000,铁岭市,2,,1645349641505607688,0,0,1645349607468830722,1255,1272
211300000000,朝阳市,2,,1645349641505607689,0,0,1645349607468830722,1273,1290
211400000000,葫芦岛市,2,,1645349641505607690,0,0,1645349607468830722,1291,1306
130401000000,市辖区,3,,1645349643455959040,0,0,1645349629614755840,190,191
130402000000,邯山区,3,,1645349643460153344,0,0,1645349629614755840,192,193
130403000000,丛台区,3,,1645349643460153345,0,0,1645349629614755840,194,195
130404000000,复兴区,3,,1645349643460153346,0,0,1645349629614755840,196,197
130406000000,峰峰矿区,3,,1645349643460153347,0,0,1645349629614755840,198,199
130407000000,肥乡区,3,,1645349643464347648,0,0,1645349629614755840,200,201
130408000000,永年区,3,,1645349643464347649,0,0,1645349629614755840,202,203
130423000000,临漳县,3,,1645349643464347650,0,0,1645349629614755840,204,205
130424000000,成安县,3,,1645349643464347651,0,0,1645349629614755840,206,207
130425000000,大名县,3,,1645349643464347652,0,0,1645349629614755840,208,209
130426000000,涉县,3,,1645349643464347653,0,0,1645349629614755840,210,211
130427000000,磁县,3,,1645349643464347654,0,0,1645349629614755840,212,213
130430000000,邱县,3,,1645349643468541952,0,0,1645349629614755840,214,215
130431000000,鸡泽县,3,,1645349643468541953,0,0,1645349629614755840,216,217
130432000000,广平县,3,,1645349643468541954,0,0,1645349629614755840,218,219
130433000000,馆陶县,3,,1645349643468541955,0,0,1645349629614755840,220,221
130434000000,魏县,3,,1645349643468541956,0,0,1645349629614755840,222,223
130435000000,曲周县,3,,1645349643468541957,0,0,1645349629614755840,224,225
130471000000,邯郸经济技术开发区,3,,1645349643468541958,0,0,1645349629614755840,226,227
130473000000,邯郸冀南新区,3,,1645349643472736256,0,0,1645349629614755840,228,229
130481000000,武安市,3,,1645349643472736257,0,0,1645349629614755840,230,231
220100000000,长春市,2,,1645349645846712320,0,0,1645349607468830723,1309,1342
220200000000,吉林市,2,,1645349645850906624,0,0,1645349607468830723,1343,1370
220300000000,四平市,2,,1645349645850906625,0,0,1645349607468830723,1371,1384
220400000000,辽源市,2,,1645349645850906626,0,0,1645349607468830723,1385,1396
220500000000,通化市,2,,1645349645850906627,0,0,1645349607468830723,1397,1414
220600000000,白山市,2,,1645349645850906628,0,0,1645349607468830723,1415,1430
220700000000,松原市,2,,1645349645850906629,0,0,1645349607468830723,1431,1446
220800000000,白城市,2,,1645349645850906630,0,0,1645349607468830723,1447,1462
222400000000,延边朝鲜族自治州,2,,1645349645855100928,0,0,1645349607468830723,1463,1480
130501000000,市辖区,3,,1645349647427964928,0,0,1645349629614755841,234,235
130502000000,襄都区,3,,1645349647427964929,0,0,1645349629614755841,236,237
130503000000,信都区,3,,1645349647427964930,0,0,1645349629614755841,238,239
130505000000,任泽区,3,,1645349647432159232,0,0,1645349629614755841,240,241
130506000000,南和区,3,,1645349647432159233,0,0,1645349629614755841,242,243
130522000000,临城县,3,,1645349647432159234,0,0,1645349629614755841,244,245
130523000000,内丘县,3,,1645349647432159235,0,0,1645349629614755841,246,247
130524000000,柏乡县,3,,1645349647432159236,0,0,1645349629614755841,248,249
130525000000,隆尧县,3,,1645349647432159237,0,0,1645349629614755841,250,251
130528000000,宁晋县,3,,1645349647432159238,0,0,1645349629614755841,252,253
130529000000,巨鹿县,3,,1645349647432159239,0,0,1645349629614755841,254,255
130530000000,新河县,3,,1645349647432159240,0,0,1645349629614755841,256,257
130531000000,广宗县,3,,1645349647432159241,0,0,1645349629614755841,258,259
130532000000,平乡县,3,,1645349647432159242,0,0,1645349629614755841,260,261
130533000000,威县,3,,1645349647436353536,0,0,1645349629614755841,262,263
130534000000,清河县,3,,1645349647436353537,0,0,1645349629614755841,264,265
130535000000,临西县,3,,1645349647436353538,0,0,1645349629614755841,266,267
130571000000,河北邢台经济开发区,3,,1645349647436353539,0,0,1645349629614755841,268,269
130581000000,南宫市,3,,1645349647436353540,0,0,1645349629614755841,270,271
130582000000,沙河市,3,,1645349647436353541,0,0,1645349629614755841,272,273
230100000000,哈尔滨市,2,,1645349649797746688,0,0,1645349607468830724,1483,1522
